item_name,item_id,item_category_id,item_name_en
! ВО ВЛАСТИ НАВАЖДЕНИЯ (ПЛАСТ.)         D,0,40,! POWER IN glamor (PLAST.) D
"!ABBYY FineReader 12 Professional Edition Full [PC, Цифровая версия]",1,76,"! ABBYY FineReader 12 Professional Edition Full [PC, Digital Version]"
***В ЛУЧАХ СЛАВЫ   (UNV)                    D,2,40,*** In the glory (UNV) D
***ГОЛУБАЯ ВОЛНА  (Univ)                      D,3,40,*** BLUE WAVE (Univ) D
***КОРОБКА (СТЕКЛО)                       D,4,40,*** BOX (GLASS) D
***НОВЫЕ АМЕРИКАНСКИЕ ГРАФФИТИ  (UNI)             D,5,40,*** NEW American Graffiti (UNI) D
***УДАР ПО ВОРОТАМ (UNI)               D,6,40,*** shot on goal (UNI) D
***УДАР ПО ВОРОТАМ-2 (UNI)               D,7,40,*** shot on goal-2 (UNI) D
***ЧАЙ С МУССОЛИНИ                     D,8,40,*** Tea with Mussolini D
***ШУГАРЛЭНДСКИЙ ЭКСПРЕСС (UNI)             D,9,40,*** SHUGARLENDSKY EXPRESS (UNI) D
*ЗА ГРАНЬЮ СМЕРТИ                       D,10,40,* BEYOND DEATH D
*ЛИНИЯ СМЕРТИ                           D,11,40,* LINE SERM D
*МИХЕЙ И ДЖУМАНДЖИ  Сука любовь,12,55,* Micah Jumanji Amores Perros
*СПАСАЯ ЭМИЛИ                           D,13,40,* SAVING EMILY D
*ЧОКНУТЫЙ ПРОФЕССОР /МАГИЯ/             D,14,40,* Nutty Professor / MAGIC / D
//АДРЕНАЛИН: ОДИН ПРОТИВ ВСЕХ (Регион),15,40,// Crank: One against all (Region)
//МОНГОЛ С.Бодров (Регион),16,40,// OF THE S.Bodrov (the regional)
//НЕ ОСТАВЛЯЮЩИЙ СЛЕДА (Регион),17,40,// Untraceable (Region)
/БОМБА ДЛЯ НЕВЕСТЫ /2DVD/               D,18,40,/ BOMB FOR BRIDE / 2DVD / D
/ЗОЛОТАЯ КОЛЛЕКЦИЯ м/ф-72,19,40,/ GOLDEN COLLECTION m / p-72
/ОДНАЖДЫ В КИТАЕ-2,20,40,/ Once in China-2
/ПОСЛЕДНИЙ ШАНС,21,40,/LAST CHANCE
/ПРОКЛЯТЬЕ ЭЛЬ ЧАРРО,22,40,/ CURSE OF EL Charro
/СЕВЕР И ЮГ /Ч.2/,23,40,/ North and South /CH.2/
/СМЕРТЕЛЬНЫЙ РАСКЛАД,24,40,/ DEADLY BREAKDOWN
/ТЫ  - ТРУП,25,40,/YOU'RE DEAD
/УМНОЖАЮЩИЙ ПЕЧАЛЬ т.2 (сер.3-4),26,40,/ V.2 multiplies GRIEF (ser.3-4)
"007 Legends [PS3, русская версия]",27,19,"007 Legends [PS3, Russian version]"
"007 Legends [PС, Jewel, русская версия]",28,30,"007 Legends [Pc, Jewel, Russian version]"
"007 Legends [Xbox 360, русская версия]",29,23,007 Legends [Xbox 360 Russian version]
007: КООРДИНАТЫ «СКАЙФОЛЛ»,30,40,"007: COORDINATES ""SKAYFOLL"""
007: КООРДИНАТЫ «СКАЙФОЛЛ» (BD),31,37,"007: COORDINATES ""SKAYFOLL» (BD)"
1+1,32,40,1+1
1+1 (BD),33,37,1+1 (BD)
10 000 ЛЕТ ДО НАШЕЙ ЭРЫ WB (регион),34,40,"10,000 BC WB (region)"
10 ЛЕТ СПУСТЯ,35,40,10 YEARS LATER
10 ЛЕТ СПУСТЯ (BD),36,37,10 YEARS (BD)
10 ЛЕТ СПУСТЯ (регион),37,40,10 YEARS LATER (region)
10 САМЫХ ПОПУЛЯРНЫХ КИНОКОМЕДИЙ ХХ ВЕКА  10DVD (rem),38,41,10 most popular comedy twentieth century 10DVD (rem)
10 САМЫХ ПОПУЛЯРНЫХ ОТЕЧЕСТВЕННЫХ КОМЕДИЙ ХХ ВЕКА (BD),39,41,10 most popular domestic comedy twentieth century (BD)
100 Best classical melodies (mp3-CD) (Digipack),40,57,100 Best classical melodies (mp3-CD) (Digipack)
100 Best relax melodies (mp3-CD) (CD-Digipack),41,57,100 Best relax melodies (mp3-CD) (CD-Digipack)
100 Best romantic melodies (mp3-CD) (Digipack),42,57,100 Best romantic melodies (mp3-CD) (Digipack)
100 МИЛЛИОНОВ ЕВРО,43,40,EUR 100 million
