shop_name,shop_id,shop_name_en
"!Якутск Орджоникидзе, 56 фран",0,"! Yakutsk Ordzhonikidze, 56 Franc"
"!Якутск ТЦ ""Центральный"" фран",1,"! Yakutsk TC ""Central"" Franc"
"Адыгея ТЦ ""Мега""",2,"Adygea TC ""Mega"""
"Балашиха ТРК ""Октябрь-Киномир""",3,"Balashikha TRC ""October-Kinomir"""
"Волжский ТЦ ""Волга Молл""",4,"Volzhsky mall ""Volga Mall"""
"Вологда ТРЦ ""Мармелад""",5,"Vologda SEC ""Marmalade"""
"Воронеж (Плехановская, 13)",6,"Voronezh (Plekhanovskaya, 13)"
"Воронеж ТРЦ ""Максимир""",7,"Voronezh TRC ""Maksimir"""
"Воронеж ТРЦ Сити-Парк ""Град""",8,"Voronezh TRC City-Park ""City"""
Выездная Торговля,9,Itinerant trade
Жуковский ул. Чкалова 39м?,10,Zhukovsky Street. Chkalov 39m?
Жуковский ул. Чкалова 39м²,11,Zhukovsky Street. Chkalov 39m²
Интернет-магазин ЧС,12,Shop Online Emergencies
"Казань ТЦ ""Бехетле""",13,"Kazan shopping center ""Bahetle"""
"Казань ТЦ ""ПаркХаус"" II",14,"Kazan shopping mall of ""Parkhouse"" II of"
"Калуга ТРЦ ""XXI век""",15,"Kaluga SEC ""XXI Century"""
"Коломна ТЦ ""Рио""",16,"Kolomna TC ""Rio"""
"Красноярск ТЦ ""Взлетка Плаза""",17,"Krasnoyarsk TC ""Vzletka Plaza"""
"Красноярск ТЦ ""Июнь""",18,"Krasnoyarsk SC ""June"""
"Курск ТЦ ""Пушкинский""",19,"Kursk TC ""Pushkin"""
"Москва ""Распродажа""",20,"Moscow ""Sale"""
"Москва МТРЦ ""Афи Молл""",21,"Moscow MTRTS ""Afi Mall"""
Москва Магазин С21,22,Moscow Shop C21
"Москва ТК ""Буденовский"" (пав.А2)",23,"Moscow TK ""Budenovsky"" (pav.A2)"
"Москва ТК ""Буденовский"" (пав.К7)",24,"Moscow TK ""Budenovsky"" (pav.K7)"
"Москва ТРК ""Атриум""",25,"Moscow TRC ""Atrium"""
"Москва ТЦ ""Ареал"" (Беляево)",26,"Moscow shopping mall ""area"" (Belyaevo)"
"Москва ТЦ ""МЕГА Белая Дача II""",27,"Moscow shopping center ""MEGA Belaya Dacha II"""
"Москва ТЦ ""МЕГА Теплый Стан"" II",28,"Moscow shopping center ""MEGA Teply Stan"" II of"
"Москва ТЦ ""Новый век"" (Новокосино)",29,"Moscow shopping center ""New Age"" (Novokosino)"
"Москва ТЦ ""Перловский""",30,"Moscow TC ""Perlovskiy"""
"Москва ТЦ ""Семеновский""",31,"Moscow shopping center ""Semyonov"""
"Москва ТЦ ""Серебряный Дом""",32,"Moscow shopping center ""Silver House"""
"Мытищи ТРК ""XL-3""",33,"Mytishchi TRK ""XL-3"""
"Н.Новгород ТРЦ ""РИО""",34,"Nizhny Novgorod SEC ""RIO"""
"Н.Новгород ТРЦ ""Фантастика""",35,"Nizhny Novgorod SEC ""Fantasy"""
"Новосибирск ТРЦ ""Галерея Новосибирск""",36,"Novosibirsk SEC ""Gallery Novosibirsk"""
"Новосибирск ТЦ ""Мега""",37,"Novosibirsk TC ""Mega"""
"Омск ТЦ ""Мега""",38,"Omsk TC ""Mega"""
"РостовНаДону ТРК ""Мегацентр Горизонт""",39,"RostovNaDonu TRC ""Megacenter Horizon"""
"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной",40,"RostovNaDonu TRC ""Megacenter Horizon"" Island"
"РостовНаДону ТЦ ""Мега""",41,"RostovNaDonu TC ""Mega"""
"СПб ТК ""Невский Центр""",42,"St. Petersburg TK ""Nevsky Center"""
"СПб ТК ""Сенная""",43,"St. Petersburg TK ""Sennaya"""
"Самара ТЦ ""Мелодия""",44,"Samara TC ""Melody"""
"Самара ТЦ ""ПаркХаус""",45,"Samara TC ""Parkhaus"""
"Сергиев Посад ТЦ ""7Я""",46,"Sergiyev Posad TC ""7H"""
"Сургут ТРЦ ""Сити Молл""",47,"Surgut SEC ""City Mall"""
"Томск ТРЦ ""Изумрудный Город""",48,"Tomsk SEC ""Emerald City"""
"Тюмень ТРЦ ""Кристалл""",49,"Tyumen SEC ""Crystal"""
"Тюмень ТЦ ""Гудвин""",50,"Tyumen SC ""Goodwin"""
"Тюмень ТЦ ""Зеленый Берег""",51,"Tyumen SC ""Green Coast"""
"Уфа ТК ""Центральный""",52,"Ufa TC ""Central"""
"Уфа ТЦ ""Семья"" 2",53,"Ufa TC ""Family"" 2"
"Химки ТЦ ""Мега""",54,"Khimki TC ""Mega"""
Цифровой склад 1С-Онлайн,55,Digital storage 1C-line
"Чехов ТРЦ ""Карнавал""",56,"Czechs SEC ""Carnival"""
"Якутск Орджоникидзе, 56",57,"Yakutsk Ordzhonikidze, 56"
"Якутск ТЦ ""Центральный""",58,"Yakutsk TC ""Central"""
"Ярославль ТЦ ""Альтаир""",59,"Yaroslavl shopping center ""Altair"""
